id,name,latitude,longitude
1,Plaza de Puente Alto,-33.6095,-70.5759
2,Las Mercedes,-33.6014,-70.577
3,Protectora de la Infancia,-33.5892,-70.5797
4,Hospital Sótero del Río,-33.5765,-70.5824
5,Elisa Correa,-33.569405,-70.583611
6,Los Quillayes,-33.560627,-70.585289
7,San José de la Estrella,-33.5534,-70.5866
8,Trinidad,-33.547,-70.5877
9,Rojas Magallanes,-33.5337,-70.5701
10,Vicente Valdés,-33.5263,-70.5882
11,Vicuña Mackenna,-33.5196,-70.5961
12,Macul,-33.5088,-70.5895
13,Las Torres,-33.500034,-70.587074
14,Quilín,-33.4995,-70.5562
15,Los Presidentes,-33.4898,-70.5465
16,Grecia,-33.4743,-70.55
17,Los Orientales,-33.4639,-70.5702
18,Plaza Egaña,-33.4533,-70.5707
19,Simón Bolívar,-33.4463767,-70.5720765
20,Príncipe de Gales,-33.4391496,-70.5733956
21,Francisco Bilbao,-33.431484,-70.584641
22,Cristóbal Colón,-33.4169,-70.5614
23,Los Domínicos,-33.4131,-70.5479
24,Hernando de Magallanes,-33.419,-70.5613
25,Manquehue,-33.4093,-70.5687
26,Escuela Militar,-33.4138,-70.5833
27,Alcántara,-33.415325,-70.58945
28,El Golf,-33.4166,-70.595
29,Tobalaba,-33.4181,-70.601
30,Los Leones,-33.4220671,-70.608405
31,Pedro de Valdivia,-33.4255,-70.614
32,Manuel Montt,-33.4283,-70.619
33,Salvador,-33.4331,-70.626
34,Bellavista de la Florida,-33.5198,-70.599
35,Mirador,-33.512936,-70.60658
36,Pedrero,-33.5078,-70.612
37,San Joaquín,-33.4983,-70.61
38,Camino Agrícola,-33.4916,-70.617
39,Carlos Valdovinos,-33.4856,-70.619
40,Rodrigo de Araya,-33.4775,-70.622
41,Ñuble,-33.4672,-70.625
42,Irarrázaval,-33.4539,-70.601
43,Santa Isabel,-33.4471,-70.630
44,Parque Bustamante,-33.4314,-70.624
45,Baquedano,-33.437,-70.633
46,Bellas Artes,-33.4365,-70.644
47,Plaza de Armas,-33.4373,-70.650
48,Vespucio Norte,-33.3804,-70.646
49,Zapadores,-33.3909,-70.642
50,Dorsal,-33.396,-70.650
51,Einsten,-33.405731,-70.64313
52,Cementerios,-33.414074,-70.64356
53,Cerro Blanco,-33.4189,-70.646
54,Patronato,-33.4296,-70.647
55,Puente Cal y Canto,-33.4327,-70.652
56,Santa Ana,-33.438254,-70.65982
57,Universidad Católica,-33.4402,-70.640
58,Universidad de Chile,-33.4438,-70.650
59,Moneda,-33.446,-70.655
60,Los Héroes,-33.4461,-70.660
61,Toesca,-33.4529,-70.658
62,Parque O`higgins,-33.4605,-70.656
63,Rondizzoni,-33.47,-70.656
64,Franklin,-33.4729,-70.642
65,El Llano,-33.482703,-70.64944
66,San Miguel,-33.4888,-70.651
67,Lo Vial,-33.497272,-70.65310
68,Departamental,-33.5026,-70.654
69,Ciudad del Niño,-33.5101,-70.656
70,Lo Ovalle,-33.5167,-70.649
71,El Parrón,-33.5264675,-70.660938
72,Santa Julia,-33.531105,-70.60549
73,La Granja,-33.5411,-70.61
74,Santa Rosa,-33.5425,-70.634
75,San Ramón,-33.5412,-70.643
76,La Cisterna,-33.5374,-70.664
77,República,-33.448,-70.667
78,Unión Latinoamericana,-33.449467,-70.67320
79,Estación Central,-33.451,-70.679
80,Universidad de Santiago,-33.4529,-70.686
81,San Alberto Hurtado,-33.454113,-70.69243
82,Ecuador,-33.456,-70.699
83,Las Rejas,-33.456,-70.70
84,Pajaritos,-33.458,-70.715
85,Neptuno,-33.451546,-70.72268
86,Cumming,-33.4389898,-70.668738
87,Quinta Normal,-33.440282,-70.68035
88,Gruta de Lourdes,-33.438262,-70.690838
89,Blanqueado,-33.441505,-70.70732
90,Lo Prado,-33.443298,-70.71641
91,San Pablo,-33.4442,-70.723
92,Pudahuel,-33.4448,-70.740
93,Barrancas,-33.452669,-70.73901
94,Laguna Sur,-33.4608,-70.74
95,Las Parcelas,-33.4754,-70.7
96,Monte Tabor,-33.4808,-70.747
97,Del Sol,-33.489991,-70.75284
98,Santiago Bueras,-33.4966,-70.757
99,Plaza de Maipú,-33.5105,-70.7 572
